session_title,year,number_of_authors,number_of_papers
"Contributed Papers in the Economics of Hospital Productivity, Financial Incentives, and Vertical Integration",2014,7,3
"Contributed Papers in the Economics of Hospitals, Public Insurance, and Medical Expenditures (I1, I1)",2015,8,3
"Contributed Papers in the Economics of Specialist Care, Agents and Brokers in Health Insurance, and Quality in the Nursing Home Market",2012,6,3
"Contributed Papers on the Economics of Rising Health Insurance Costs, Physician Prescription Behavior, and Emergency Department Use",2013,6,3
"Contributions of Economists to Public Policy: A Session in Honor of Walter Oi (J1, A1)",2015,7,4
Conventional and Unconventional Fiscal Multipliers,2018,10,3
"Cooperation, for Good or Ill",2019,8,5
"Cooperation, Reciprocity and Altruism in Developing Countries: The Household, the Village, and Beyond",2011,6,3
Coordination in Social and Political Environments,2019,6,3
Coping with Economic and Environmental Shocks: Institutions and Outcomes,2012,8,3
Corporate Bonds and Derivatives,2019,7,3
Corporate Borrowing,2019,10,3
Corporate Cash Holdings,2015,9,4
Corporate Control - Governance,2016,10,4
Corporate Culture,2019,15,4
Corporate Disclosure and Accounting,2016,6,3
Corporate Disclosure and Accounting,2018,7,3
Corporate Finance and Market Feedback,2015,8,4
Corporate Finance and Product and Labor Markets,2012,6,4
Corporate Finance and Product Markets,2013,11,4
Corporate Finance Theory,2011,7,3
Corporate Finance Theory,2012,8,3
Corporate Finance Theory,2013,5,3
"Corporate Finance, Financial Institutions, and Financial Markets",2015,8,4
Corporate Finance: Investment Behavior,2018,10,4
Corporate Governance,2011,6,3
Corporate Governance,2014,9,4
Corporate Governance,2018,9,4
Corporate Governance - Theory,2011,6,3
Corporate Governance (Empirical),2013,5,3
Corporate Governance (Empirical) 1,2012,12,4
Corporate Governance (Empirical) 2,2012,9,3
Corporate Governance and Informational Frictions,2012,7,3
"Corporate Governance, Ownership, and Activism",2011,6,3
"Corporate Governance, Product Market Competition and Acquisitions",2013,11,4
Corporate Governance: Creditor and Shareholder Monitoring,2019,11,4
Corporate Investment,2014,7,3
Corporate Investments and Liquidations,2013,11,4
Corporate Liquidity,2018,8,3
Correct Measurement of International Financial and Trade Flows,2012,11,4
Correlation and Contagion in Financial Markets,2011,6,3
Corruption,2012,9,4
Corruption,2013,6,4
Corruption II,2012,8,5
Corruption of Social Provisioning under Capitalism,2015,7,5
Country-Specific Studies on Aspects of Economic Development in Africa,2011,11,6
"Couples' Retirement and Social Security around the World (J2, D1)",2016,11,5
"Covenants, Leverage and Banks",2013,11,4
Creating a Climate of Employee Voice,2012,9,4
Creating a New Balance in the Corporate World: Promoting Stable Employment and Long-Term Growth,2011,4,4
Creating Socio-emotional Skills: Evidence From Developing Countries,2018,11,4
Credit Allocation,2018,10,4
"Credit and Balance Sheets During the Great Recession (E2, D1)",2015,8,4
Credit and Bankruptcy,2013,8,4
Credit and Collateral,2014,13,5
Credit Availability and REITs,2012,12,4
"Credit Booms, Aggregate Demand, and Financial Crises",2018,11,4
Credit Bubbles,2012,7,3
"Credit Cards (G2, D1)",2015,11,4
"Credit Constraints and Educational Choices (I2, O1)",2015,6,4
Credit Cycles and the Role of Macro-prudential Policy,2018,12,4
Credit Default Swaps,2018,10,4
Credit Frictions,2012,7,4
Credit Frictions and Time-Variant Uncertainty,2012,15,4
Credit Markets,2019,10,5
Credit Rating Agencies,2014,9,3
Credit Rating Agencies: Incentives and Regulation,2012,9,4
Credit Ratings and Credit Risk,2015,10,4
Credit Ratings and the Financial Crisis,2011,10,4
"Credit Ratings, Creditor Protection and Compliance",2014,13,4
Credit Relationships and Constraints,2013,11,4
Credit Risk,2016,11,4
Credit Risk I,2014,7,3
Credit Risk II,2014,14,4
Credit Supply During the Financial Crisis,2012,9,3
"Credit, Frictions, and the Macroeconomy",2016,11,5
Credit: Empirical Macroeconomic Implications,2019,8,3
Crime & Corruption,2014,15,5
Crime and Development,2019,4,3
Crime and Terrorism,2012,8,4
"Crime, Education, and Racial Disparities",2018,9,4
Crises and Conflicts in the Global Economy,2016,7,5
Crisis and Capital Structure Interventions,2011,6,3
Critical Issues in National Climate Policy Design,2011,7,4
"Cronyism, Corruption and Growth",2019,9,4
Cross Sectional Asset Pricing,2014,11,4
Cross-Border Banking and Capital Flows,2015,8,5
Cross-Sectional Asset Pricing,2015,9,4
Cross-Sectional Asset Pricing,2019,5,3
Cross-Sectional Variation in Average Returns and Volatilities,2014,10,4
Crossing the United States Border,2011,9,5
"Crowdfunding Innovation (L1, G2)",2016,8,3
Crypto-currency Markets,2019,11,4
CSMGEP Dissertation Session,2013,6,6
CSMGEP Dissertation Session,2014,6,4
CSMGEP Dissertation Session,2018,4,4
CSMGEP Dissertation Session,2019,5,4
"CSMGEP Dissertation Session (J1, R1)",2015,7,4
Cultural Practices and Women's Lives,2019,7,4
Cultural Roots of Finance,2014,6,3
"Culture and Finance (G3, G1)",2016,10,3
"Culture, Ethics and Finance",2016,7,3
"Culture, Institutions and Development",2011,5,4
"Culture, Institutions, and Historical Persistence",2013,5,3
"Culture, Prosocial Behavior and Ethnicity",2016,10,4
"Culture, Social Transmission, and Arbitrage in Financial Markets (G1, D7)",2015,12,4
"Culture, Trust, and Productivity (D2, L2)",2015,11,4
"Currency Risks: Empirical Facts and Theory Frontiers (F4, G1)",2015,11,4
Currency Unions and Macroeconomic Policies,2012,6,3
Current Issues in Climate Policy,2012,9,4
Current Issues in Real Estate,2012,8,4
Current Research on Marxian Value Theory,2015,4,4
Current Research on the Rate Of Profit,2013,8,4
Curriculum and Assessment of Economic Principles,2015,8,4
Cycles,2019,9,4
Data Gold! Exploiting the Rich Research Potential of Lifetime Administrative Earnings Data Linked to the Census Bureau's Household SIPP Survey,2016,7,4
Data Revisions and Macroeconomic Analysis,2014,9,4
David Gordon Memorial Lecture,2012,1,1
David Gordon Memorial Lecture,2013,1,1
David Gordon Memorial Lecture,2014,1,1
David Gordon Memorial Lecture,2016,1,1
David Hume on Normative Economics,2012,4,4
Debating the Marginal Productivity Theory of Distribution,2014,4,3
Debating the Minimum Wage,2015,4,3
Debt Constraints and the Macroeconomy,2016,9,3
Debt Drivers Late in the Life Cycle,2018,9,4
Debt Management and Optimal Taxation,2019,11,4
Decarbonizing Transportation: Implications for Alternative Fuels and Agricultural Markets,2014,4,3
"Decentralization, Local Governance and Public Goods Provision in Developing Countries",2011,7,4
Deception and Persuasion,2013,6,4
"Deception, Self-Deception and Incentives",2013,7,4
Decision Making:  The More You Know…,2019,9,4
Decision-Making on Behalf of Others,2019,8,4
Declining Natural Rate of Interest,2018,9,3
Default and Foreclosure,2019,10,4
"Default and Foreclosure (G2, R2)",2015,12,4
Default Risk and Aggregate Fluctuations,2013,7,4
"Deforestation, Land-Use Change and Contracts",2014,11,4
Deindustrialization and Financialization 1970-2012,2013,5,4
Demand for Labor,2019,12,5
Demand for Liquidity,2011,8,4
Demand Non-homotheticities over the Business Cycle,2018,8,4
Demand Systems and Imperfect Competition,2013,12,4
"Democratic Crisis and the Responsibility of Economics, I",2018,6,5
"Democratic Crisis and the Responsibility of Economics, II",2018,5,5
Democratic Workplace Practices and Employee Ownership,2014,7,4
Demography and Development,2018,8,4
"Density (R1, R4)",2015,5,4
"Density, Spillovers and Amenities",2019,10,4
Departures from Rationality,2013,7,3
Departures from Rationality in Finance,2018,9,4
Derivatives,2019,7,4
Derivatives: Option Pricing,2012,8,3
Design and Incentive Effects of Certification and Disclosure Programs,2011,11,4
Designing Effective School Choice Mechanisms,2012,11,4
Designing Unemployment Insurance,2018,12,4
Determinants and Consequences of Corporate Cash Holdings,2014,5,3
Determinants and Consequences of Human Capital Investment,2011,9,3
Determinants of Academic Persistence and Success,2019,12,4
Determinants of Bank Lending,2018,10,4
Determinants of Children's Health,2019,12,6
Determinants of Corporate Investment and Innovation,2011,9,4
Determinants of Derivatives' Returns,2011,9,4
Determinants of Labor Supply,2016,11,4
Determinants of M&A Activity,2011,7,3
Determinants of Student Achievement in High School and Undergraduate Economics and Personal Finance Classrooms,2014,7,4
Determinants of Time Preferences,2013,8,4
Developing Country Conflict,2018,13,4
Developing Country Lessons for Advanced Economy Growth,2014,6,3
Development and Financial History,2019,7,4
"Development and Migration (O1, Q1)",2016,9,5
Development I: Household Choices,2011,7,4
Development II: Industrial Organization,2011,11,4
Development Issues in Some MENA Countries,2014,7,5
Development Issues in South Asia,2018,11,4
"Development Issues on Bangladesh (O1, D1)",2015,9,4
"Development, Division of Labor, and Sexual Orientation",2016,6,3
Developments in Health and Insurance,2013,9,4
Developments in Health and Population Economics,2013,7,4
Difference-in-Difference Analyses of the Effects of Family Policies,2016,7,4
"Different Perspectives on Time Use: Nature, Norms, Crisis and Policy",2019,3,3
Differentiation and Change in Low-wage Labor Markets,2013,4,3
Digital Currencies,2016,5,3
Digital Media Economics,2015,8,4
"Digitization and Innovation (D2, L8)",2016,7,3
"Digitization and New Research Directions: Copyright, Privacy, and User-Generated Content",2012,5,3
"Dignity, Status, and Social Exchange",2013,5,5
Dimensions of Governance Revisited,2016,10,4
Dimensions of Wealth Inequality,2018,9,4
Disability Insurance and Disability Discrimination,2018,10,4
Disability Programs and Employment,2012,13,4
"Disclosure, Regulation, and Banking",2019,8,4
Discontinuity and Heterogeneity in Data,2011,9,4
"Discounting for Climate Change Economics (G1, Q5)",2015,6,4
Discounting for the Long Run,2014,7,4
Discrete Choice,2015,9,4
Discrete Choice Models in Action,2018,11,4
Discrimination in Health Care,2019,5,3
"Disentangling the Effects of History, Culture, and Institutions",2011,4,4
Dissecting Job Search: Economic Approaches to Employers Screening Workers and Workers Screening Jobs,2015,8,4
"Dissecting the Evolution of the State, Market, Firm, and Household (B5, P1)",2016,6,5
Distortions in Financial Markets,2012,10,4
Distributional Diversity in the National Accounts,2019,7,4
Diversity and the Professions,2015,5,4
Diversity in Business: International Evidence,2014,9,4
"Dividends, Repurchases and Payout Policy (G3, G3)",2016,13,4
"Dividends, Repurchases, and Private Placements",2013,11,4
"Do Capital Flows Need to be Tamed? (F3, F4)",2016,9,4
Do New Forms of Organization in Health Care Enhance Efficiency or Harm Competition?,2018,14,4
Do Unions (Still) Matter?,2014,5,3
"Documenting the Costs of Climate Change (Q5, E3)",2015,11,4
Does Community Organising Make Sense? Trade Unions Perspectives from around the World,2012,4,4
Does Economics Need a New Household Panel?,2015,6,4
"Does Household Debt Act as a Transmission Mechanism for Long-Run Trends, Macroeconomic Shocks, and Policy? (E3, J2)",2015,6,4
Does Uncertainty Matter for Business Cycles?,2012,10,4
Domestic and International Dimensions of Innovation Spillovers,2018,16,4
"Domestic and International Topics in Governance and Human/Health Capital (I2, I2)",2016,10,5
Domestic Environmental Policy,2014,7,4
"Domestic Trade Costs (F1, F6)",2015,11,4
Down But Not Out: Global Perspectives on Labor Unions,2016,9,4
"Drought, Heat, and Economic Activity",2016,9,4
DSGE Model Forecasts,2012,9,4
Dumb and Dumber: The Trading Activity of Institutions vs. Retail Investors,2015,10,4
Dynamic Agency,2015,6,3
Dynamic Behavioral Theory,2019,10,4
Dynamic Contracting With and Without Commitment,2016,9,4
"Dynamic Cooperation: Theory and Evidence (C7, D8)",2015,9,4
Dynamic Corporate Finance,2016,9,4
Dynamic Corporate Policies,2015,9,4
Dynamic Games,2011,9,4
Dynamic Games,2013,6,3
"Dynamic Macroeconomics, Finance, and Monetary Policy",2011,11,5
Dynamic Models of Asset Pricing,2011,6,3
Dynamics of Health Insurance Choice,2014,4,3
Dynamics of Medical Treatment and Decision-Making,2014,6,3
Dysfunction in the Real Estate Market,2019,12,4
E-commerce and the Agrifood Supply Chain,2018,9,4
Early Effects of the 2010 Affordable Care Act,2013,9,3
Earnings Dynamics in the United States: Trends and Reconciliation,2019,9,4
Econometric Analysis of Complex Data,2011,7,4
Econometric Inference in Inequality based models,2011,7,4
Econometric Methods,2011,8,4
Econometric Methods for Endogenous Networks,2019,9,4
Econometric Methods in Industrial Organization,2011,12,4
Econometric Models of Consumer Search,2012,7,4
Econometric Theory,2015,8,4
Econometric Theory for Decision-making,2011,6,4
Econometrics,2013,13,5
Econometrics of Derivatives Markets,2013,6,4
Econometrics of High Frequency Financial Data,2012,6,4
Econometrics of Network and Panel data,2019,5,4
Econometrics of Networks,2016,12,5
Econometrics of Policy Evaluation,2019,8,3
Econometrics of Randomized Experiments,2015,4,4
Economic Analysis of Environmental Policy,2013,8,4
Economic Analysis of Illegal and Legal Immigration,2011,8,4
Economic Analysis of Subjective Well-being,2013,8,3
Economic and Financial Capability Education: K-12 and College Studies,2018,10,5
Economic and Political Governance in Public Utilities,2016,6,4
Economic and Social Impact of Patriarchal Family Structures,2018,7,5
"Economic Anthropology (D2, P4)",2015,10,4
Economic Applications of Machine Learning,2018,10,4
Economic Benefits of Protecting Water Quality in the Chesapeake Bay,2015,10,4
Economic Circumstances and Child Health,2012,8,4
Economic Consequences of Artificial Intelligence and Robotics,2018,10,4
Economic Consequences of Dominant Currencies,2019,9,3
Economic Cost and Efficiency in Transportation,2016,8,4
"Economic Cycles and Strategies: The Role of Transfers, Borrowing, and Self-Employment (D1, H3)",2016,9,4
"Economic Cycles and the Health of Nations: International Evidence (I1, E3)",2016,12,4
Economic Development,2013,17,5
Economic Development,2014,12,6
Economic Development,2018,7,5
"Economic Development and Culture (O1, Z1)",2016,9,4
Economic Development and Institutional Change,2011,4,4
Economic Development from a Historical Perspective,2012,9,4
Economic Development in MENA Region,2015,12,5
Economic Development in MENA Region,2016,12,5
"Economic Development: Macro and Micro Level Challenges (O2, O2)",2016,12,6
"Economic Developments in China, India, and Japan (E2, E6)",2016,11,4
Economic Education Research and the Principles Classroom,2015,8,3
Economic Effects of Fiscal Shocks,2019,11,4
Economic Freedom and Minority Groups,2015,9,4
Economic Globalization,2015,12,5
Economic Growth,2012,13,9
Economic Growth and Development,2014,7,4
"Economic Growth and Development (O1, O4)",2016,14,5
"Economic Growth and Integration (O1, O3)",2015,9,4
"Economic Growth, Development and Environment",2018,9,6
"Economic Growth, Technological Change and Income Inequality",2015,9,4
Economic History,2011,13,5
Economic History,2013,10,5
Economic History,2015,8,5
Economic History,2016,6,5
Economic History in the Long Run,2015,3,3
Economic Impacts of Natural Disasters,2014,9,4
Economic Impacts of the September 11 Attacks: A Ten-Year Retrospective,2011,8,4
Economic Implications of Model Uncertainty,2018,8,4
Economic Implications of New Energy Technologies,2016,11,4
